pid,ocr,jpg,chunk count,ignore count,ignore percentage,dictionary count,dictionary percentage (of total),dictionary percentage (of non-ignored)
hale:121984,https://hale.archives.caltech.edu/islandora/object/hale:121984/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:121984/datastream/JPG/view,1656,1387,83.75603865,117,7.065217391,43.49442379
hale:60171,https://hale.archives.caltech.edu/islandora/object/hale:60171/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:60171/datastream/JPG/view,1462,1253,85.70451436,104,7.113543092,49.76076555
hale:14435,https://hale.archives.caltech.edu/islandora/object/hale:14435/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:14435/datastream/JPG/view,42,25,59.52380952,3,7.142857143,17.64705882
hale:86453,https://hale.archives.caltech.edu/islandora/object/hale:86453/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:86453/datastream/JPG/view,28,21,75,2,7.142857143,28.57142857
hale:15424,https://hale.archives.caltech.edu/islandora/object/hale:15424/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:15424/datastream/JPG/view,84,69,82.14285714,6,7.142857143,40
hale:124832,https://hale.archives.caltech.edu/islandora/object/hale:124832/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:124832/datastream/JPG/view,434,362,83.41013825,31,7.142857143,43.05555556
hale:60102,https://hale.archives.caltech.edu/islandora/object/hale:60102/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:60102/datastream/JPG/view,1560,1362,87.30769231,112,7.179487179,56.56565657
hale:44740,https://hale.archives.caltech.edu/islandora/object/hale:44740/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:44740/datastream/JPG/view,751,610,81.22503329,54,7.190412783,38.29787234
hale:35266,https://hale.archives.caltech.edu/islandora/object/hale:35266/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:35266/datastream/JPG/view,945,805,85.18518519,68,7.195767196,48.57142857
hale:29480,https://hale.archives.caltech.edu/islandora/object/hale:29480/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:29480/datastream/JPG/view,496,411,82.86290323,36,7.258064516,42.35294118
hale:38356,https://hale.archives.caltech.edu/islandora/object/hale:38356/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:38356/datastream/JPG/view,1044,849,81.32183908,76,7.279693487,38.97435897
hale:65253,https://hale.archives.caltech.edu/islandora/object/hale:65253/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:65253/datastream/JPG/view,1662,1442,86.76293622,121,7.280385078,55
hale:76697,https://hale.archives.caltech.edu/islandora/object/hale:76697/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:76697/datastream/JPG/view,151,120,79.47019868,11,7.284768212,35.48387097
hale:23391,https://hale.archives.caltech.edu/islandora/object/hale:23391/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:23391/datastream/JPG/view,288,228,79.16666667,21,7.291666667,35
